district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Suan Luang,1742014800,13.7212,100.6406,307.82,314.62,1011,54,22,4.88,190,Clouds,few clouds,58.02
Chom Thong,1741914000,13.6853,100.4674,304.8,308.08,1011,55,100,3.18,177,Clouds,overcast clouds,7.31
Don Mueang,1742202000,13.9125,100.5989,308.77,314.91,1008,49,20,3.09,180,Clouds,few clouds,57.99
Ratchathewi,1741813200,13.7547,100.5342,302.09,306.7,1008,75,31,3.87,184,Clouds,scattered clouds,46.6
Ratchathewi,1742220000,13.7547,100.5342,304.05,308.8,1011,64,8,5.01,179,Clear,clear sky,36.22
Lat Phrao,1741935600,13.8078,100.5701,308.68,314.69,1010,49,88,5.13,187,Clouds,overcast clouds,25.4
Lat Phrao,1741939200,13.8078,100.5701,308.12,314.15,1010,51,72,4.95,188,Clouds,broken clouds,24.18
Lat Phrao,1742385600,13.8078,100.5701,307.25,309.86,1012,44,20,3.09,80,Clouds,few clouds,42.88
Sai Mai,1742306400,13.9248,100.6385,305.15,308.79,1011,55,20,2.57,100,Clouds,few clouds,36.44
Khan Na Yao,1741928400,13.8159,100.6669,308.16,315.16,1012,67,94,4.42,198,Clouds,overcast clouds,34.64
Saphan Sung,1741816800,13.761,100.6726,302.13,305.65,1008,69,20,4.63,200,Clouds,few clouds,51.59
Wang Thonglang,1741798800,13.7889,100.612,302.99,308.27,1009,72,89,5.27,192,Clouds,overcast clouds,34.8
Khlong Sam Wa,1742144400,13.8647,100.7351,303.13,309.14,1010,74,20,4.63,180,Clouds,few clouds,51.57
Phra Nakhon,1742392800,13.7563,100.5018,303.9,304.65,1015,46,100,6.43,92,Clouds,overcast clouds,71.3
Dusit,1742202000,13.7842,100.5117,308.72,315.64,1008,51,100,4.86,186,Clouds,overcast clouds,35.08
Bang Rak,1741953600,13.7259,100.5283,306.98,311.85,1010,52,5,5.01,180,Clear,clear sky,27.47
Bang Khen,1742263200,13.8644,100.5843,306.32,313.32,1014,63,79,2.6,117,Clouds,broken clouds,122.84
Pathum Wan,1742101200,13.7445,100.5342,308.79,315.79,1010,53,81,4.23,180,Clouds,broken clouds,28.75
Pom Prap Sattru Phai,1741802400,13.7504,100.5097,302.09,306.12,1009,72,88,4.79,197,Clouds,overcast clouds,36.31
Phra Khanong,1742342400,13.7088,100.6022,301.17,302.0,1015,54,63,4.53,72,Clouds,broken clouds,57.0
Min Buri,1742248800,13.8053,100.755,300.68,305.59,1010,91,20,2.06,180,Clouds,few clouds,94.67
Thon Buri,1741946400,13.7229,100.4907,308.13,314.17,1008,51,35,5.33,177,Clouds,scattered clouds,16.3
Thon Buri,1742126400,13.7229,100.4907,306.13,310.92,1008,55,40,4.07,118,Clouds,scattered clouds,63.5
Bangkok Yai,1741996800,13.7314,100.4806,300.13,302.31,1011,74,59,3.92,181,Clouds,broken clouds,21.41
Khlong San,1741928400,13.7348,100.5042,307.53,313.12,1011,52,87,4.46,185,Clouds,overcast clouds,34.64
Khlong San,1742029200,13.7348,100.5042,307.69,314.69,1008,58,88,4.4,190,Clouds,overcast clouds,65.15
Khlong San,1742385600,13.7348,100.5042,305.89,307.64,1012,45,47,4.07,97,Clouds,scattered clouds,67.2
Taling Chan,1741813200,13.7702,100.4429,302.13,307.62,1008,79,20,2.57,210,Clouds,few clouds,30.03
Taling Chan,1742151600,13.7702,100.4429,303.93,310.45,1008,71,20,3.09,160,Clouds,few clouds,49.11
Bangkok Noi,1742004000,13.7634,100.4735,306.16,310.99,1012,55,32,4.29,183,Clouds,scattered clouds,28.26
Bang Khun Thian,1742241600,13.6703,100.4578,301.13,304.32,1010,74,36,2.87,181,Clouds,scattered clouds,43.06
Bang Khun Thian,1742335200,13.6703,100.4578,301.99,303.09,1013,54,61,3.92,83,Clouds,broken clouds,106.55
Bang Khun Thian,1742360400,13.6703,100.4578,304.87,305.56,1015,43,16,4.5,69,Clouds,few clouds,102.19
Rat Burana,1742302800,13.6865,100.4925,305.96,311.84,1011,59,86,4.76,177,Clouds,overcast clouds,60.64
